cbo,cargo,carga_horaria,piso_22,media_22,mediana_22,teto_22,hora_22,piso_23,media_23,mediana_23,teto_23,hora_23
213315,Meteorologista ,41,6451,6632,6385,13449,32,"6.552,14 ","6.736,11 ","6.500,00 ","13.577,93 ","33,09"
213210,Químico Industrial ,42,4932,5070,3918,12390,23,"4.946,62 ","5.085,51 ","3.750,00 ","12.640,71 ","23,93"
211120,Matemático Aplicado ,40,8502,8741,7405,17592,43,"8.452,32 ","8.689,65 ","7.180,00 ","17.491,72 ","43,38"
211205,Estatístico ,41,7044,7242,6118,16358,35,"7.038,99 ","7.236,63 ","6.087,75 ","16.366,49 ","35,12"
203305,Pesquisador de Clinica Medica ,41,7729,7946,6158,18946,38,"7.531,90 ","7.743,38 ","6.000,00 ","18.537,16 ","37,86"
203210,Pesquisador de Engenharia e Tecnologia (Outras Áreas da Engenharia),42,10189,10475,9200,22067,49,"10.289,40 ","10.578,30 ","9.286,00 ","22.173,60 ","50,37"
239410,Orientador de Ensino ,37,2574,2647,1910,6082,14,"2.622,39 ","2.696,02 ","1.962,00 ","6.202,43 ","14,44"
261420,Tradutor ,41,5709,5869,3700,15465,28,"5.776,11 ","5.938,29 ","3.714,00 ","15.652,36 ","28,93"
239425,Psicopedagogo ,34,2753,2831,2500,5727,16,"2.773,01 ","2.850,87 ","2.500,00 ","5.758,22 ","17,05"
251105,Antropólogo ,41,5925,6092,5741,13096,29,"5.802,03 ","5.964,94 ","5.517,00 ","12.841,67 ","28,80"
241005,Advogado ,41,4569,4697,3500,11256,22,"4.580,64 ","4.709,25 ","3.500,00 ","11.318,31 ","22,95"
221205,Biomédico,41,2724,2800,2700,5019,13,"2.743,95 ","2.820,99 ","2.753,00 ","5.041,29 ","13,84"
322130,Esteticista,42,1729,1778,1614,3105,8,"1.722,39 ","1.770,75 ","1.661,00 ","3.027,05 ","8,34"
914105,Mecânico de Aeronaves,42,2959,3042,2323,6833,14,"3.075,14 ","3.161,49 ","2.340,00 ","7.243,93 ","15,24"
239435,Desenhista Instrucional,42,4085,4199,3700,8958,20,"4.130,62 ","4.246,60 ","3.695,00 ","9.139,06 ","20,28"
252315,Secretário Trilíngue de Gabinete,42,2213,2275,1426,5475,10,"2.344,75 ","2.410,59 ","1.426,00 ","5.958,41 ","11,36"
